Timestamp,n-transactions-total
16/09/2021,670732475
17/09/2021,671003106
18/09/2021,671275196
19/09/2021,671504021
20/09/2021,671703920
21/09/2021,671973190
22/09/2021,672217715
23/09/2021,672493411
24/09/2021,672762994
25/09/2021,673038705
26/09/2021,673252795
27/09/2021,673447444
28/09/2021,673704702
29/09/2021,673966602
30/09/2021,674209251
01/10/2021,674501306
02/10/2021,674778798
03/10/2021,675039180
04/10/2021,675257144
05/10/2021,675526340
06/10/2021,675838634
07/10/2021,676106824
08/10/2021,676432081
09/10/2021,676711778
10/10/2021,676957681
11/10/2021,677169661
12/10/2021,677448946
13/10/2021,677722995
14/10/2021,678012452
15/10/2021,678293951
16/10/2021,678594018
17/10/2021,678863878
18/10/2021,679078376
19/10/2021,679364585
20/10/2021,679675451
21/10/2021,679968054
22/10/2021,680289705
23/10/2021,680574777
24/10/2021,680801042
25/10/2021,681011310
26/10/2021,681295966
27/10/2021,681590310
28/10/2021,681881744
29/10/2021,682178224
30/10/2021,682483941
31/10/2021,682735438
01/11/2021,683245545
02/11/2021,683543364
03/11/2021,683832665
04/11/2021,684121357
05/11/2021,684407204
06/11/2021,684643649
07/11/2021,684868357
08/11/2021,685155107
09/11/2021,685491179
10/11/2021,685791815
11/11/2021,686086029
12/11/2021,686368434
13/11/2021,686607289
14/11/2021,686829559
15/11/2021,687119382
16/11/2021,687421128
17/11/2021,687711077
18/11/2021,688004340
19/11/2021,688289612
20/11/2021,688539230
21/11/2021,688760523
22/11/2021,689041122
23/11/2021,689325014
24/11/2021,689623429
25/11/2021,689910328
26/11/2021,690203504
27/11/2021,690442755
28/11/2021,690658593
29/11/2021,690959249
30/11/2021,691253908
01/12/2021,691541831
02/12/2021,691856000
03/12/2021,692145255
04/12/2021,692397157
05/12/2021,692614251
06/12/2021,692898231
07/12/2021,693186796
08/12/2021,693453753
09/12/2021,693736445
10/12/2021,694005972
11/12/2021,694231777
12/12/2021,694448559
13/12/2021,694725859
14/12/2021,695004157
15/12/2021,695285558
16/12/2021,695541831
17/12/2021,695805675
18/12/2021,696043039
19/12/2021,696251416
20/12/2021,696517706
21/12/2021,696822277
22/12/2021,697110260
23/12/2021,697403366
24/12/2021,697663726
25/12/2021,697869915
26/12/2021,698069683
27/12/2021,698318287
28/12/2021,698584885
29/12/2021,698861383
30/12/2021,699106307
31/12/2021,699373861
01/01/2022,699561779
02/01/2022,699758373
03/01/2022,699995245
04/01/2022,700268469
05/01/2022,700540294
06/01/2022,700804672
07/01/2022,701060121
08/01/2022,701284673
09/01/2022,701493950
10/01/2022,701761947
11/01/2022,702040529
12/01/2022,702312053
13/01/2022,702585662
14/01/2022,702855456
15/01/2022,703090105
16/01/2022,703305976
17/01/2022,703565724
18/01/2022,703830844
19/01/2022,704099618
20/01/2022,704372101
21/01/2022,704643270
22/01/2022,704893827
23/01/2022,705098842
24/01/2022,705368879
25/01/2022,705634659
26/01/2022,705895543
27/01/2022,706150299
28/01/2022,706415305
29/01/2022,706645954
30/01/2022,706854417
31/01/2022,707116297
01/02/2022,707389701
02/02/2022,707668143
03/02/2022,707934638
04/02/2022,708182519
05/02/2022,708441033
06/02/2022,708659645
07/02/2022,708921648
08/02/2022,709198351
09/02/2022,709464092
10/02/2022,709726725
11/02/2022,709983445
12/02/2022,710212002
13/02/2022,710422684
14/02/2022,710669547
15/02/2022,710943183
16/02/2022,711209926
17/02/2022,711465638
18/02/2022,711725641
19/02/2022,711946838
20/02/2022,712147783
21/02/2022,712385539
22/02/2022,712644538
23/02/2022,712896943
24/02/2022,713150486
25/02/2022,713411505
26/02/2022,713632140
27/02/2022,713842227
28/02/2022,714113424
01/03/2022,714393325
02/03/2022,714682109
03/03/2022,714951051
04/03/2022,715213378
05/03/2022,715437707
06/03/2022,715644535
07/03/2022,715900824
08/03/2022,716156440
09/03/2022,716429135
10/03/2022,716690857
11/03/2022,716942898
12/03/2022,717168548
13/03/2022,717375852
14/03/2022,717636374
15/03/2022,717900136
16/03/2022,718176611
17/03/2022,718453366
18/03/2022,718715462
19/03/2022,718958369
20/03/2022,719169728
21/03/2022,719427558
22/03/2022,719693344
23/03/2022,719957649
24/03/2022,720221107
25/03/2022,720511666
26/03/2022,720741869
28/03/2022,720960445
29/03/2022,721252996
30/03/2022,721541642
31/03/2022,721813645
01/04/2022,722092199
02/04/2022,722377453
03/04/2022,722631913
04/04/2022,722855685
05/04/2022,723132313
06/04/2022,723405122
07/04/2022,723679500
08/04/2022,723947533
09/04/2022,724215887
10/04/2022,724448126
11/04/2022,724664895
12/04/2022,724941769
13/04/2022,725219952
14/04/2022,725497957
15/04/2022,725761887
16/04/2022,726018262
17/04/2022,726243025
18/04/2022,726450332
19/04/2022,726696924
20/04/2022,726970411
21/04/2022,727255848
22/04/2022,727537519
23/04/2022,727798056
24/04/2022,728034426
25/04/2022,728255030
26/04/2022,728533363
27/04/2022,728806300
28/04/2022,729093281
29/04/2022,729368375
