Timestamp,transaction-fees-usd
19/11/2019,225593.067385055
20/11/2019,288483.995467707
21/11/2019,293852.977650535
22/11/2019,158369.28465501
23/11/2019,121515.702754575
24/11/2019,229849.979624974
25/11/2019,284539.00114635
26/11/2019,245831.557247821
27/11/2019,198679.948796128
28/11/2019,259011.738628015
29/11/2019,208511.820185835
30/11/2019,161101.37229726
01/12/2019,190622.906405845
02/12/2019,186384.614615595
03/12/2019,217050.154483835
04/12/2019,170391.635783243
05/12/2019,185216.821433886
06/12/2019,136488.492932575
07/12/2019,108697.90092066
08/12/2019,162681.966484135
09/12/2019,169332.855391595
10/12/2019,177337.582885545
11/12/2019,161743.952500285
12/12/2019,163140.7159923
13/12/2019,111357.45764521
14/12/2019,144956.049736998
15/12/2019,156312.460524745
16/12/2019,155377.70409706
17/12/2019,187707.777228705
18/12/2019,209201.792612032
19/12/2019,182153.207526775
20/12/2019,118710.31831236
21/12/2019,92345.473466835
22/12/2019,141805.76463966
23/12/2019,128678.07161855
24/12/2019,94697.78636791
25/12/2019,144847.774239277
26/12/2019,125276.93713638
27/12/2019,100746.286225477
28/12/2019,92621.517625755
29/12/2019,116649.654471028
30/12/2019,106897.286097356
31/12/2019,71819.535881825
01/01/2020,7556.22325633
02/01/2020,18804.925808477
03/01/2020,1050.14425706
04/01/2020,8532.5113295912
05/01/2020,56240.581115435
06/01/2020,020 56.637165872
07/01/2020,53639.224523445
08/01/2020,34889.71334373
09/01/2020,69893.769357924
10/01/2020,49746.64073864
11/01/2020,18506.942755045
12/01/2020,42861.33139231
13/01/2020,24956.373426505
14/01/2020,74928.824865575
15/01/2020,7176.854595105
16/01/2020,15116.699962192
17/01/2020,58075.07604825
18/01/2020,48402.37484248
19/01/2020,46878.042932375
20/01/2020,77281.741405005
21/01/2020,90275.091249285
22/01/2020,78026.067869385
23/01/2020,36250.29893946
24/01/2020,4726.76568995
25/01/2020,371.85278697
26/01/2020,73263.866481225
27/01/2020,7611.508410945
28/01/2020,90781.284329835
29/01/2020,87287.000429768
30/01/2020,10266.864066575
31/01/2020,63807.06832045
01/02/2020,59250.34390695
02/02/2020,811.004641575
03/02/2020,18242.472432848
04/02/2020,41354.06834986
05/02/2020,71923.595613535
06/02/2020,8132.36494327
07/02/2020,13029.1989374
08/02/2020,784.756380835
09/02/2020,79935.034812314
10/02/2020,52891.21008744
11/02/2020,87378.485979585
12/02/2020,64422.754256368
13/02/2020,30638.826502205
14/02/2020,89854.441457135
15/02/2020,13823.583470045
16/02/2020,48493.44878495
17/02/2020,99239.02798569
18/02/2020,21939.09125211
19/02/2020,66434.874030725
20/02/2020,28330.194344265
21/02/2020,77059.21594133
22/02/2020,64055.823625785
23/02/2020,22941.471373335
24/02/2020,41495.287671946
25/02/2020,64807.431043065
26/02/2020,37352.83405567
27/02/2020,28249.806726255
28/02/2020,60837.600123555
29/02/2020,23696.95896551
01/03/2020,019  41.75478917
02/03/2020,17280.980321935
03/03/2020,15896.21950216
04/03/2020,2022 1.476485165
05/03/2020,43122.00573979
06/03/2020,69394.580492015
07/03/2020,39865.50707628
08/03/2020,1358.450743183
09/03/2020,22006.248720077
10/03/2020,31568.26789909
11/03/2020,91127.876922815
12/03/2020,41659.151184846
13/03/2020,86980.174486856
14/03/2020,34918.506043555
15/03/2020,13356.24227754
16/03/2020,30277.543553364
17/03/2020,10354.719294655
18/03/2020,94298.832836978
19/03/2020,17762.907913405
20/03/2020,90303.628415855
21/03/2020,4586.143648206
22/03/2020,17062.669366249
23/03/2020,97674.3581887
24/03/2020,3494.188675113
25/03/2020,66817.285029733
26/03/2020,78310.005421215
27/03/2020,81312.68336178
28/03/2020,29282.041117055
30/03/2020,64907.129901515
31/03/2020,87635.353086023
01/04/2020,69072.93673951
02/04/2020,68345.002720967
03/04/2020,76394.673256326
04/04/2020,13034.25148237
05/04/2020,2753.6266792
06/04/2020,49386.933186148
07/04/2020,86825.764900079
08/04/2020,65317.671523745
09/04/2020,70337.190654418
10/04/2020,44680.59318499
11/04/2020,5448.18963293
12/04/2020,9377.213106895
13/04/2020,14113.232737325
14/04/2020,54671.635339455
15/04/2020,80221.73745236
16/04/2020,98528.97918529
17/04/2020,83924.940806665
18/04/2020,37861.278558785
19/04/2020,11572.46401451
20/04/2020,54876.97915905
21/04/2020,61936.74560551
22/04/2020,78220.413801023
23/04/2020,990.1671429
24/04/2020,81706.55217529
25/04/2020,9882.174790355
26/04/2020,58510.647644783
27/04/2020,18381.651089275
28/04/2020,14812.785011675
29/04/2020,45085.891699809
30/04/2020,71607.283471105
01/05/2020,97350.01386165
02/05/2020,5690.790770165
03/05/2020,14184.098905119
04/05/2020,88614.779659312
05/05/2020,41549.51406749
06/05/2020,68834.405895864
07/05/2020,40525.08231752
08/05/2020,34676.87050096
09/05/2020,47586.646695398
10/05/2020,55622.759303741
11/05/2020,85376.964002169
12/05/2020,62885.958666815
13/05/2020,97849.367271426
14/05/2020,399772.35128988
15/05/2020,539241.85207204
16/05/2020,18775.6908057
17/05/2020,72748.49211133
18/05/2020,657263.60620265
19/05/2020,803715.02037417
20/05/2020,857616.11969975
21/05/2020,861114.57557815
22/05/2020,447001.42415917
23/05/2020,94049.25519165
24/05/2020,69463.838781515
25/05/2020,12882.458533699
26/05/2020,21876.362825904
27/05/2020,45727.631938745
28/05/2020,26468.01321037
29/05/2020,98408.814543075
30/05/2020,50716.372014456
31/05/2020,82754.267796826
01/06/2020,66439.64780061
02/06/2020,65817.93220643
03/06/2020,84999.11860107
04/06/2020,5764.20040038
05/06/2020,46338.93998952
06/06/2020,10840.27498877
07/06/2020,52841.514500095
08/06/2020,11865.624322125
09/06/2020,43909.918917795
10/06/2020,75636.38666696
11/06/2020,70845.026593711
12/06/2020,81531.456330825
13/06/2020,99849.65917518
14/06/2020,54256.537838495
15/06/2020,17051.224608405
16/06/2020,87981.960086835
17/06/2020,54573.10823802
18/06/2020,21236.57968918
19/06/2020,62543.22769752
20/06/2020,78926.50234774
21/06/2020,39065.2058985
22/06/2020,43583.95117743
23/06/2020,41882.52022 986
24/06/2020,98689.9593605
25/06/2020,69944.67320617
26/06/2020,18505.682806057
27/06/2020,13082.68396448
28/06/2020,78468.48756926
29/06/2020,4297.302716275
30/06/2020,92985.46204946
01/07/2020,92471.561264635
02/07/2020,12223.954237295
