Timestamp,estimated-transaction-volume-usd
03/09/2020,2195667067.2480316
04/09/2020,2512517216.225265
05/09/2020,1263375218.8698335
06/09/2020,942632672.8111798
07/09/2020,1747148281.5062864
08/09/2020,1706304707.7497606
09/09/2020,1479239533.7312331
10/09/2020,1510201425.9578102
11/09/2020,1615058494.599918
12/09/2020,855809354.7957093
13/09/2020,786517189.8096939
14/09/2020,1641329657.9907258
15/09/2020,1675152816.8943894
16/09/2020,1875402238.1826138
17/09/2020,1728645381.2338386
18/09/2020,1937356456.84136
19/09/2020,1020812737.2328732
20/09/2020,845867147.6809912
21/09/2020,1618550493.708504
22/09/2020,1620744900.8434787
23/09/2020,1930400508.768271
24/09/2020,2038281713.5185595
25/09/2020,1904178398.6342678
26/09/2020,794309819.7184452
27/09/2020,789919236.0190964
28/09/2020,1644928781.8498938
29/09/2020,1756325729.5985732
30/09/2020,1561125507.1341772
01/10/2020,1674944661.581599
02/10/2020,2283910067.2491984
03/10/2020,846455550.5192969
04/10/2020,634742572.527444
05/10/2020,1343799081.1799047
06/10/2020,1385299160.190378
07/10/2020,1847973952.4246747
08/10/2020,1564119346.8517392
09/10/2020,2052602359.6675017
10/10/2020,1149403530.058942
11/10/2020,651622749.4229141
12/10/2020,1519550414.7656412
13/10/2020,1713107902.128088
14/10/2020,1641335688.119119
15/10/2020,1656087273.91197
16/10/2020,1735871118.0383928
17/10/2020,694375228.5853593
18/10/2020,564810368.5227593
19/10/2020,1621572965.596006
20/10/2020,1656442476.473881
21/10/2020,2381891958.1275086
22/10/2020,3311533243.6679773
23/10/2020,2772642131.3782315
24/10/2020,1019815578.520192
25/10/2020,770092624.095325
26/10/2020,1916977068.721834
27/10/2020,2517314639.707993
28/10/2020,2135566368.3007386
29/10/2020,1893674939.1413562
30/10/2020,1316281834.8887045
31/10/2020,1188080329.7413285
01/11/2020,1715336327.8298092
02/11/2020,3811487630.8471503
03/11/2020,1988917620.2442853
04/11/2020,5149644713.046795
05/11/2020,3527917034.289506
06/11/2020,1502513708.7042077
07/11/2020,1123463511.0622897
08/11/2020,2728063355.8702464
09/11/2020,2632911827.6774883
10/11/2020,2715135370.028515
11/11/2020,3262813497.119191
12/11/2020,2656697442.1882963
13/11/2020,1356685552.9036057
14/11/2020,795037576.249102
15/11/2020,2343880257.789508
16/11/2020,3117390382.4550147
17/11/2020,4148880836.428013
18/11/2020,2649430667.646257
19/11/2020,4202034216.731514
20/11/2020,2261632554.633789
21/11/2020,1454587916.630766
22/11/2020,2703213540.7977214
23/11/2020,4162955937.5419774
24/11/2020,3581534995.903928
25/11/2020,3560329146.149023
26/11/2020,3539855459.5656195
27/11/2020,1310741286.2452636
28/11/2020,1353406964.7056353
29/11/2020,3302208582.0160117
30/11/2020,4627255393.593444
01/12/2020,2983704874.188316
02/12/2020,2744199631.0179462
03/12/2020,3109317273.318671
04/12/2020,1245963842.4548998
05/12/2020,1002450424.9438207
06/12/2020,2103990331.796725
07/12/2020,3771844232.261542
08/12/2020,2599989621.4131374
09/12/2020,3877167091.86871
10/12/2020,2913875514.564554
11/12/2020,1929697457.1383855
12/12/2020,3450322095.0157766
13/12/2020,2685900125.77615
14/12/2020,3108771396.732216
15/12/2020,4228699631.5529056
16/12/2020,5540206537.115145
17/12/2020,6176614857.997192
18/12/2020,2768897617.388285
19/12/2020,2436345570.703207
20/12/2020,3918912338.912008
21/12/2020,6418279942.846496
22/12/2020,6427851084.363599
23/12/2020,4019021845.006808
24/12/2020,2352003684.944295
25/12/2020,2615234142.573132
26/12/2020,4714768342.628513
27/12/2020,8026930076.872239
28/12/2020,5504342175.362542
