Timestamp,n-transactions
27/09/2021,255873
28/09/2021,262292
29/09/2021,241991
30/09/2021,293074
01/10/2021,277042
02/10/2021,259961
03/10/2021,218112
04/10/2021,268955
05/10/2021,312538
06/10/2021,267749
07/10/2021,325875
08/10/2021,280028
09/10/2021,246189
10/10/2021,211506
11/10/2021,280184
12/10/2021,274155
13/10/2021,288916
14/10/2021,282383
15/10/2021,297746
16/10/2021,270052
17/10/2021,215883
18/10/2021,285368
19/10/2021,312018
20/10/2021,291813
21/10/2021,320743
22/10/2021,287550
23/10/2021,223941
24/10/2021,211220
25/10/2021,284680
26/10/2021,294029
27/10/2021,292114
28/10/2021,295558
29/10/2021,305733
30/10/2021,252061
31/10/2021,217435
01/11/2021,297402
02/11/2021,288746
03/11/2021,289141
04/11/2021,285946
05/11/2021,236233
06/11/2021,226128
07/11/2021,285806
08/11/2021,335411
09/11/2021,301025
10/11/2021,293665
11/11/2021,282049
12/11/2021,238634
13/11/2021,224016
14/11/2021,288435
15/11/2021,301103
16/11/2021,290390
17/11/2021,293867
18/11/2021,284719
19/11/2021,249652
20/11/2021,222949
21/11/2021,279165
22/11/2021,283401
23/11/2021,298909
24/11/2021,287496
25/11/2021,292645
26/11/2021,240759
27/11/2021,213768
28/11/2021,301297
29/11/2021,293876
30/11/2021,288422
01/12/2021,313261
02/12/2021,290139
03/12/2021,253674
04/12/2021,215213
05/12/2021,284467
06/12/2021,288343
07/12/2021,266110
08/12/2021,282775
09/12/2021,271375
10/12/2021,225733
11/12/2021,214808
12/12/2021,278211
13/12/2021,278275
14/12/2021,281103
15/12/2021,256206
16/12/2021,263495
17/12/2021,239170
18/12/2021,206719
19/12/2021,266947
20/12/2021,304713
21/12/2021,288495
22/12/2021,291799
23/12/2021,260565
24/12/2021,207803
25/12/2021,198574
26/12/2021,249548
27/12/2021,265422
28/12/2021,276083
29/12/2021,245021
30/12/2021,269540
31/12/2021,186834
01/01/2022,196865
02/01/2022,234793
03/01/2022,274544
04/01/2022,272155
05/01/2022,264899
06/01/2022,255381
07/01/2022,223920
08/01/2022,210143
09/01/2022,266743
10/01/2022,277698
11/01/2022,271933
12/01/2022,274515
13/01/2022,270882
14/01/2022,234373
15/01/2022,216151
16/01/2022,258141
17/01/2022,265057
18/01/2022,270334
19/01/2022,271265
20/01/2022,272348
21/01/2022,250294
22/01/2022,203986
23/01/2022,270712
24/01/2022,265128
25/01/2022,261070
26/01/2022,255925
27/01/2022,264609
28/01/2022,231038
29/01/2022,207173
30/01/2022,263410
31/01/2022,272984
01/02/2022,278985
02/02/2022,265344
03/02/2022,247946
04/02/2022,258646
05/02/2022,219196
06/02/2022,262034
07/02/2022,276850
08/02/2022,265804
09/02/2022,260813
10/02/2022,258595
11/02/2022,228189
12/02/2022,208977
13/02/2022,247592
14/02/2022,273623
15/02/2022,266788
16/02/2022,255573
17/02/2022,261055
18/02/2022,220673
19/02/2022,200535
20/02/2022,237402
21/02/2022,260265
22/02/2022,251275
23/02/2022,254139
24/02/2022,260340
25/02/2022,220423
26/02/2022,211164
27/02/2022,270918
28/02/2022,280634
01/03/2022,288657
02/03/2022,268244
03/03/2022,262101
04/03/2022,225321
05/03/2022,207116
06/03/2022,255441
07/03/2022,255771
08/03/2022,272805
09/03/2022,261553
10/03/2022,252383
11/03/2022,225148
12/03/2022,208092
13/03/2022,259592
14/03/2022,263178
15/03/2022,276390
16/03/2022,278800
17/03/2022,261318
18/03/2022,242424
19/03/2022,210547
20/03/2022,259912
21/03/2022,264569
22/03/2022,264182
23/03/2022,262987
24/03/2022,290719
25/03/2022,231031
26/03/2022,218202
28/03/2022,293304
29/03/2022,286940
30/03/2022,272864
31/03/2022,279210
01/04/2022,284105
02/04/2022,254442
03/04/2022,225564
04/04/2022,275106
05/04/2022,273430
06/04/2022,273640
07/04/2022,269404
08/04/2022,266805
09/04/2022,232792
10/04/2022,216446
11/04/2022,276623
12/04/2022,278839
13/04/2022,276968
14/04/2022,265537
15/04/2022,254831
16/04/2022,225486
17/04/2022,207324
18/04/2022,246421
19/04/2022,273168
20/04/2022,285655
21/04/2022,282438
22/04/2022,260930
23/04/2022,234978
24/04/2022,221992
25/04/2022,277417
26/04/2022,273297
27/04/2022,287105
28/04/2022,275765
29/04/2022,286563
