Timestamp,estimated-transaction-volume
17-04-2020,151884.4059746
18-04-2020,72700.16883926
19-04-2020,63892.93460417
20-04-2020,142026.36155992
21-04-2020,158582.77088265
22-04-2020,135613.25557325
23-04-2020,176407.82845698
24-04-2020,252999.90067026
25-04-2020,77948.12504636
26-04-2020,62822.22317557
27-04-2020,161589.25019418
28-04-2020,136800.4636958
29-04-2020,381035.25990029
30-04-2020,302044.74430637
01-05-2020,224914.91089891
02-05-2020,73277.84088433
03-05-2020,88757.48438065
04-05-2020,148485.72000459
05-05-2020,129613.11786582
06-05-2020,178147.75609516
07-05-2020,203696.25750297
08-05-2020,259355.41031719
09-05-2020,193480.57545977
10-05-2020,133098.55351411
11-05-2020,191871.68197665
12-05-2020,217639.52113417
13-05-2020,204217.30316259
14-05-2020,130848.35378676
15-05-2020,165118.84751829
16-05-2020,96130.75316348
17-05-2020,57448.06017708
18-05-2020,156862.61215763
19-05-2020,136866.63311992
20-05-2020,176517.37570305
21-05-2020,198429.80866881
22-05-2020,143644.37565216
23-05-2020,71722.28904869
24-05-2020,107256.0429658
25-05-2020,270424.20055243
26-05-2020,116290.36726367
27-05-2020,181996.845827
28-05-2020,138922.72036044
29-05-2020,174955.09131375
30-05-2020,76390.33484394
31-05-2020,163468.67874987
01-06-2020,251034.49064988
02-06-2020,269856.47558314
03-06-2020,143202.62832215
04-06-2020,180171.68476832
05-06-2020,184254.95729065
06-06-2020,60040.87647443
07-06-2020,52177.20570141
08-06-2020,151974.17289403
09-06-2020,122474.14099779
10-06-2020,121166.76327399
11-06-2020,238689.10282836
12-06-2020,126474.97348093
13-06-2020,61174.68635016
14-06-2020,48809.12416476
15-06-2020,184093.56978128
16-06-2020,174623.15810895
17-06-2020,180462.30516009
18-06-2020,126594.8076192
19-06-2020,250423.06322562
20-06-2020,62454.26432165
21-06-2020,57418.26893659
22-06-2020,144350.81956594
23-06-2020,223797.324362
24-06-2020,177466.23306765
25-06-2020,195917.99431231
26-06-2020,216139.18236848
27-06-2020,65743.23207016
28-06-2020,66482.75948601
29-06-2020,120204.06542879
30-06-2020,105381.41040472
01-07-2020,159811.64022379
02-07-2020,145280.40392493
03-07-2020,127873.11886927
