Timestamp,output-volume;
16/04/2020,1109195.64760975;
17/04/2020,945920.019087213;
18/04/2020,613279.302850086;
19/04/2020,547594.508733469;
20/04/2020,839780.608285255;
21/04/2020,810070.433540893;
22/04/2020,866718.352478309;
23/04/2020,924532.437602299;
24/04/2020,1265403.31533266;
25/04/2020,612813.214824569;
26/04/2020,523828.657864635;
27/04/2020,1035215.22430837;
28/04/2020,881270.46901014;
29/04/2020,1797174.1981907;
30/04/2020,2022344.59395085;
01/05/2020,1076318.37468517;
02/05/2020,551345.643588245;
03/05/2020,729928.366536047;
04/05/2020,914148.179451729;
05/05/2020,1091229.69871237;
06/05/2020,1019264.00328187;
07/05/2020,1319480.59718214;
08/05/2020,1326677.95960725;
09/05/2020,1171689.06029833;
10/05/2020,805120.27036456;
11/05/2020,1165274.92614542;
12/05/2020,1205576.90515208;
13/05/2020,1111537.86226089;
14/05/2020,1138602.39322196;
15/05/2020,1004693.83507288;
16/05/2020,588481.035675438;
17/05/2020,587798.415081619;
18/05/2020,1062998.79589118;
19/05/2020,1176856.58096745;
20/05/2020,1085395.61863261;
21/05/2020,981107.891056958;
22/05/2020,987088.019611931;
23/05/2020,556030.768258092;
24/05/2020,595935.213819698;
25/05/2020,1099658.34870169;
26/05/2020,952761.581576603;
27/05/2020,1106668.09300837;
28/05/2020,839340.520864076;
29/05/2020,1047675.48051426;
30/05/2020,587440.145320611;
31/05/2020,752990.409021887;
01/06/2020,1253496.17612293;
02/06/2020,1566267.80336628;
03/06/2020,1129212.65239848;
04/06/2020,1152648.34209259;
05/06/2020,1061346.60727637;
06/06/2020,499113.05981015;
07/06/2020,452165.291612093;
08/06/2020,983934.73421203;
09/06/2020,879184.175881874;
10/06/2020,1195978.12128421;
11/06/2020,1001631.28565624;
12/06/2020,830253.863744253;
13/06/2020,582211.681689125;
14/06/2020,479773.867716293;
15/06/2020,1010530.12387002;
16/06/2020,1354151.1693022;
17/06/2020,935895.462594491;
18/06/2020,787459.576308072;
19/06/2020,1446849.25137761;
20/06/2020,544762.336902044;
21/06/2020,475839.887667669;
22/06/2020,962617.166341449;
23/06/2020,1353314.1414485;
24/06/2020,1311910.1917584;
25/06/2020,1187885.16995811;
26/06/2020,1223831.11613146;
27/06/2020,578597.558721226;
28/06/2020,683500.705868015;
29/06/2020,1013567.96454737;
30/06/2020,1097730.27154464;
01/07/2020,1085316.16279451;
02/07/2020,1031021.5341106;
03/07/2020,971719.254995018;
04/07/2020,676450.563713943;
05/07/2020,600272.961085762;
06/07/2020,1159525.34007784;
07/07/2020,992282.946751971;
08/07/2020,1088708.77697653;
09/07/2020,976219.418168258;
10/07/2020,969619.359678852;
11/07/2020,613984.724456739;
12/07/2020,678513.983457948;
13/07/2020,1223910.64205352;
14/07/2020,910587.514779727;
15/07/2020,833760.32020 1608;
16/07/2020,984626.116643764;
17/07/2020,848790.136178614;
18/07/2020,660373.467356979;
19/07/2020,651373.590622766;
20/07/2020,909433.194233738;
21/07/2020,890489.549614565;
22/07/2020,954797.572798298;
23/07/2020,1016262.18315993;
24/07/2020,1035386.49292255;
25/07/2020,791995.338359226;
26/07/2020,730216.75686728;
27/07/2020,1239333.7545504;
28/07/2020,1269990.75861043;
29/07/2020,1131995.4293344;
30/07/2020,1045611.30384732;
31/07/2020,1014392.20306478;
01/08/2020,864866.804415056;
02/08/2020,793876.043691907;
03/08/2020,1131415.83019561;
04/08/2020,993343.061244682;
05/08/2020,993543.746320266;
06/08/2020,1194659.24607117;
07/08/2020,1022839.81732761;
08/08/2020,805601.805601121;
09/08/2020,698476.612509977;
10/08/2020,1024528.55495357;
11/08/2020,1042770.73857038;
12/08/2020,976274.057328136;
13/08/2020,907786.726174472;
14/08/2020,1440043.27138648;
15/08/2020,1432177.73151402;
16/08/2020,1819310.32164451;
17/08/2020,2938608.11177309;
18/08/2020,2076963.08785902;
19/08/2020,1887293.86475869;
20/08/2020,1846156.89173236;
21/08/2020,1495713.75280943;
22/08/2020,1358275.33979503;
23/08/2020,1371402.62063225;
24/08/2020,1864226.37054568;
25/08/2020,1616790.38400576;
26/08/2020,1947966.62296823;
27/08/2020,2013412.44461547;
28/08/2020,2165612.96771946;
29/08/2020,1751538.26084279;
30/08/2020,1753307.7044367;
31/08/2020,2697925.47431122;
01/09/2020,2653444.8390494;
02/09/2020,2306329.28701445;
03/09/2020,2741473.92877884;
04/09/2020,2654809.09837285;
05/09/2020,2428545.24733002;
06/09/2020,2294692.65207522;
07/09/2020,2985927.90043194;
08/09/2020,2703153.93985139;
09/09/2020,3188715.62976655;
10/09/2020,3493320.23694438;
11/09/2020,3130284.86298285;
12/09/2020,2593736.73279476;
13/09/2020,2620089.0871622;
14/09/2020,2762366.30350742;
15/09/2020,2860061.91558;
16/09/2020,3050638.97331212;
17/09/2020,4143516.66667704;
18/09/2020,3787104.81625391;
19/09/2020,2860939.87443681;
20/09/2020,2360008.56928717;
21/09/2020,3456045.38428924;
22/09/2020,2782025.07079532;
23/09/2020,2652893.32133297;
24/09/2020,2409206.57003335;
25/09/2020,2838226.51285106;
26/09/2020,2385729.18632694;
27/09/2020,2072273.32734576;
28/09/2020,2293688.52488764;
29/09/2020,2586561.94297157;
30/09/2020,2388252.74332289;
01/10/2020,1977666.50737644;
02/10/2020,2708626.79829764;
03/10/2020,2174249.74651709;
04/10/2020,1876623.60378062;
05/10/2020,2042046.81022511;
06/10/2020,2176302.67316531;
07/10/2020,2110681.87583666;
08/10/2020,2022716.02155628;
09/10/2020,2758949.9255976;
10/10/2020,1865861.9233934;
11/10/2020,2133739.15102191;
12/10/2020,2172342.70098622;
13/10/2020,2284628.16012756;
14/10/2020,2398755.58680234;
15/10/2020,2630666.21368249;
16/10/2020,2358982.79373228;
17/10/2020,2423280.90877801;
18/10/2020,2127428.32531514;
19/10/2020,3411624.78212906;
20/10/2020,4199302.32843022;
21/10/2020,3812554.2034121;
22/10/2020,4039132.91811656;
23/10/2020,2741260.45589243;
24/10/2020,1860296.14123998;
25/10/2020,1638908.01221233;
26/10/2020,2503686.57898381;
27/10/2020,2662066.38119073;
28/10/2020,2437235.12789907;
29/10/2020,2350724.46566804;
30/10/2020,1692437.54770491;
31/10/2020,2135583.52314719;
01/11/2020,2566363.66879351;
02/11/2020,3210188.03817944;
03/11/2020,2044401.52796359;
04/11/2020,3125865.37128535;
05/11/2020,3089433.85601955;
06/11/2020,1612472.81962935;
07/11/2020,1499231.53289015;
08/11/2020,2143909.22363187;
09/11/2020,2160265.60229378;
10/11/2020,2063545.6685167;
11/11/2020,1961289.44822583;
12/11/2020,1578705.472086;
13/11/2020,1902618.94230378;
14/11/2020,1598945.68491315;
15/11/2020,3618303.61786064;
16/11/2020,3030811.51945976;
17/11/2020,2930159.47122932;
18/11/2020,2378459.75128672;
19/11/2020,2460005.91336176;
20/11/2020,1907160.50084211;
21/11/2020,1908302.55988071;
22/11/2020,2246648.02850927;
23/11/2020,2346578.30857813;
24/11/2020,2212824.74586326;
25/11/2020,2284232.03929534;
26/11/2020,1857757.43659584;
27/11/2020,1297738.59879115;
28/11/2020,1275997.45803272;
29/11/2020,2254249.7237631;
30/11/2020,2099814.42873625;
01/12/2020,1676105.30722301;
02/12/2020,1522633.81973265;
03/12/2020,1904552.52806195;
04/12/2020,1525130.2269317;
05/12/2020,1332342.13740927;
06/12/2020,1554178.90479233;
07/12/2020,1619020.9618214;
08/12/2020,1967186.96005317;
09/12/2020,1965927.79908413;
10/12/2020,1421781.01792182;
11/12/2020,1419960.29020335;
12/12/2020,1658116.0865384;
13/12/2020,2076030.48156883;
14/12/2020,2160315.2395772;
15/12/2020,2709597.59890312;
16/12/2020,2503111.8315624;
17/12/2020,2435931.47522933;
18/12/2020,1665126.04936993;
19/12/2020,1323039.91951824;
20/12/2020,1743577.76419699;
21/12/2020,2040795.08399801;
22/12/2020,2006004.45648193;
23/12/2020,2115162.45911265;
24/12/2020,2043474.79027271;
25/12/2020,2013537.27212173;
26/12/2020,2514614.69764884;
27/12/2020,1980852.00746059;
28/12/2020,1845946.88181157;
29/12/2020,1743500.84672405;
30/12/2020,1945437.01195329;
31/12/2020,1603396.21371169;
01/01/2021,2164453.2957427;
02/01/2021,2211805.28237547;
03/01/2021,1922521.52090157;
04/01/2021,2209914.2060158;
05/01/2021,2131442.73954928;
06/01/2021,2751162.19806138;
07/01/2021,2518905.29697044;
08/01/2021,1924128.5592848;
09/01/2021,1802561.28437786;
10/01/2021,2438667.93651277;
11/01/2021,2210729.26328285;
12/01/2021,1781868.54244899;
13/01/2021,1934960.55750385;
14/01/2021,1735779.46627042;
15/01/2021,1699036.93435696;
16/01/2021,1426059.46408808;
17/01/2021,1788904.57642521;
18/01/2021,2111753.33316964;
19/01/2021,2021208.1631863;
20/01/2021,2210014.30151966;
21/01/2021,2107825.23696511;
22/01/2021,1529579.51397598;
23/01/2021,1515699.35078707;
24/01/2021,2313552.77216143;
25/01/2021,1703884.0413185;
26/01/2021,1995359.16731623;
27/01/2021,2181658.23860885;
28/01/2021,2493283.10059515;
29/01/2021,1957192.88669112;
30/01/2021,1991251.57563081;
31/01/2021,1926362.67973635;
01/02/2021,1924952.59522727;
02/02/2021,2065145.65732256;
03/02/2021,2181219.34621026;
04/02/2021,1959874.22075536;
05/02/2021,2156848.97735203;
06/02/2021,2048377.49210705;
07/02/2021,2263658.88453612;
08/02/2021,3400460.24457001;
09/02/2021,2162722.149084;
10/02/2021,2381722.55818239;
11/02/2021,2143548.81125557;
12/02/2021,1524496.40888092;
13/02/2021,1989965.47388606;
14/02/2021,2271037.82285881;
15/02/2021,2515309.88902975;
16/02/2021,2077696.2962022 34;
17/02/2021,2202921.04931457;
18/02/2021,2365992.80474588;
19/02/2021,2195460.02059808;
20/02/2021,1784572.20040498;
21/02/2021,1991241.40592634;
22/02/2021,2173494.94477556;
23/02/2021,2121419.75262337;
24/02/2021,2313430.17270825;
