Timestamp,hash-rate
28-05-2020,92882000.95950732
29-05-2020,92882000.95950732
30-05-2020,94602038.014313
31-05-2020,98579623.70355108
01-06-2020,102234702.44501312
02-06-2020,103202223.28834136
03-06-2020,103739734.86796811
04-06-2020,103847237.1838934
05-06-2020,105288528.17664038
06-06-2020,109091786.5862932
07-06-2020,111435315.22543451
08-06-2020,110815623.43783523
09-06-2020,112208528.24468681
10-06-2020,113943904.93806835
11-06-2020,114994337.85839006
12-06-2020,117511415.09088519
13-06-2020,115951097.54610991
14-06-2020,112245343.37726863
15-06-2020,113318061.68930148
16-06-2020,110977585.37213863
17-06-2020,110570811.73739877
18-06-2020,110046645.12823592
19-06-2020,105905233.95063546
20-06-2020,105926966.55685534
21-06-2020,105875824.18477462
22-06-2020,105663297.23398961
23-06-2020,108235120.84612931
24-06-2020,110749704.10207161
25-06-2020,110861798.94428018
26-06-2020,112767411.26182592
27-06-2020,115233497.79041462
28-06-2020,115345592.6326232
29-06-2020,115793972.00145747
30-06-2020,116018161.6858746
01-07-2020,114784987.4948736
02-07-2020,117362562.86205758
03-07-2020,119940130.74771544
04-07-2020,119827426.16113044
05-07-2020,121956640.8632953
06-07-2020,123413264.06763044
07-07-2020,124421541.56999873
08-07-2020,125990398.02477516
09-07-2020,124757395.9088743
10-07-2020,124757395.9088743
11-07-2020,124533213.7059833
12-07-2020,124421122.60453773
13-07-2020,123188120.488637
14-07-2020,123224185.96614286
15-07-2020,122915681.28235172
16-07-2020,122988997.50264344
17-07-2020,121358766.03401914
18-07-2020,117847537.53861402
19-07-2020,116374944.77118145
20-07-2020,115473898.09459303
21-07-2020,115544420.58822846
22-07-2020,113203968.57204902
23-07-2020,113943058.68242146
24-07-2020,113943058.68242146
25-07-2020,119239871.14009073
26-07-2020,120718051.36083575
27-07-2020,124043956.85751173
28-07-2020,124990478.24995859
29-07-2020,126940916.24508916
30-07-2020,126909829.43703115
31-07-2020,126308844.85317615
01-08-2020,124781881.42071429
02-08-2020,123681091.53514744
03-08-2020,121087964.30590859
04-08-2020,122154894.821214
05-08-2020,122154894.821214
06-08-2020,119881689.13893874
07-08-2020,122394179.62987459
08-08-2020,122274537.22554432
09-08-2020,122872749.24719574
10-08-2020,124667385.31214988
11-08-2020,121699816.4582016
12-08-2020,122886223.95061503
13-08-2020,126347972.69387732
14-08-2020,125375833.91500747
15-08-2020,127289349.96388792
16-08-2020,129075393.19033505
17-08-2020,128705025.71407248
18-08-2020,127334807.63169721
19-08-2020,125649847.98439692
20-08-2020,123363117.0344893
21-08-2020,123242762.77396788
22-08-2020,121798511.6477104
23-08-2020,119391426.4372813
24-08-2020,119993197.73988858
25-08-2020,123297691.91400085
26-08-2020,122408096.68320654
27-08-2020,123504835.10932174
28-08-2020,122017801.82510348
29-08-2020,123686955.5261539
